StaringActorId,ActorAgeGapId,WriterId,GenreId,Success
188089,4,724048,3,1
13061,2,74911,15,0
13262,1,221813,10,1
12230,1,12879,10,0
11941,4,222606,3,0
456895,5,461911,15,0
12614,1,632808,17,1
313041,3,313041,3,0
456895,5,1853083,15,0
1235441,5,1374598,15,0
1468137,6,12963,1,1
17085,4,11708,18,0
12556,3,11658,3,0
688641,4,1803111,1,1
65124,4,65124,3,0
68655,1,1854542,18,0
70506,5,212373,15,1
13165,4,273691,15,0
12659,3,789741,10,0
285824,4,504418,3,1
12161,2,538491,10,1
296927,3,868780,10,1
185812,2,321982,14,1
12604,3,1295997,3,1
897735,5,2203639,18,0
13035,3,439429,3,0
322654,4,434219,3,0
13604,3,741131,15,1
691617,5,20845,3,0
2413216,6,75202,1,1
12592,3,610129,15,0
16911,3,582023,15,0
13039,3,99471,17,1
2092308,5,898462,10,0
805086,3,11658,3,0
223910,5,2414355,3,1
12718,4,19211,17,1
13084,2,12696,15,0
12615,2,2202367,1,1
1660523,5,459674,1,0
12583,3,780846,3,0
12578,3,937793,15,0
187404,3,662276,15,1
12998,4,12279,15,0
